,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,6.529943743674858,0.4782608695652174,0.4761166253101736,0.47368421052631576,0.484593837535014,0.5789473684210527,0.636904761904762,21,29,31,34,8,7,13,10,5,1,7,6
1,Consumer Goods,1.0083862514573345,0.4434782608695652,0.43611111111111106,0.4473684210526316,0.4472222222222222,0.3157894736842105,0.32386363636363635,21,31,33,30,8,11,10,9,3,5,8,3
2,Energy,30.11207072616369,0.4065040650406504,0.40823211875843457,0.5609756097560976,0.569377990430622,0.35,0.35858585858585856,29,45,28,21,13,12,6,10,4,8,5,3
3,Financials,69668.26177899672,0.5772357723577236,0.5664835164835166,0.6097560975609756,0.618421052631579,0.65,0.6616161616161615,24,23,29,47,11,5,11,14,6,2,5,7
4,Health Care/Biotech,9.530175544484282,0.36585365853658536,0.3669181034482758,0.6585365853658537,0.6654589371980677,0.6,0.6060606060606062,19,39,39,26,14,5,9,13,6,3,5,6
5,Industrials,19.86093520307119,0.48148148148148145,0.48240469208211134,0.5555555555555556,0.55,0.4444444444444444,0.45000000000000007,12,18,10,14,6,4,4,4,2,3,2,2
6,Large Cap Blend,1.0967551753142835,0.4959349593495935,0.5041425020712511,0.5609756097560976,0.5630952380952381,0.3,0.3,27,37,25,34,13,11,7,10,4,8,6,2
7,Large Cap Growth,2.1724919644402787,0.44715447154471544,0.43899782135076254,0.7073170731707317,0.7149758454106281,0.5,0.5,22,36,32,33,14,8,4,15,6,6,4,4
8,Large Cap Value,2.8914393533359126,0.5203252032520326,0.5378723404255319,0.4878048780487805,0.4904761904761905,0.4,0.37373737373737376,28,39,20,36,12,13,8,8,7,8,4,1
9,Mid Cap Blend,7.848307266620531,0.5934959349593496,0.5980769230769231,0.5121951219512195,0.511904761904762,0.45,0.44999999999999996,31,29,21,42,10,10,10,11,4,5,6,5
10,Mid Cap Growth,1.9754206120103845,0.5528455284552846,0.5574175824175824,0.6097560975609756,0.6095238095238096,0.35,0.3484848484848485,29,32,23,39,13,8,8,12,3,7,6,4
11,Mid Cap Value,8.024684506851571,0.5691056910569106,0.5632421982877659,0.5365853658536586,0.5357142857142857,0.4,0.3939393939393939,29,30,23,41,10,9,10,12,3,6,6,5
12,Real Estate,1.2547302017265762,0.5040650406504065,0.49973118279569895,0.6829268292682927,0.6932367149758454,0.4,0.3939393939393939,29,30,31,33,14,9,4,14,5,6,6,3
13,Small Cap Blend,2.5167210967637104,0.5284552845528455,0.5322930800542741,0.4878048780487805,0.4904761904761905,0.35,0.35,29,32,26,36,12,13,8,8,5,8,5,2
14,Small Cap Growth,1.1391310927741625,0.4878048780487805,0.48079004329004327,0.5365853658536586,0.5380952380952381,0.25,0.24747474747474746,26,32,31,34,12,11,8,10,3,7,8,2
15,Small Cap Value,236.92650980263872,0.5365853658536586,0.5446623093681917,0.43902439024390244,0.44856459330143544,0.35,0.35,36,38,19,30,11,15,8,7,4,7,6,3
16,Technology,207.87193119834498,0.4634146341463415,0.4642375168690958,0.5853658536585366,0.6002415458937198,0.5,0.5151515151515151,31,40,26,26,13,12,5,11,6,7,3,4
17,Telecom,0.670261330618278,0.5853658536585366,0.5959294436906377,0.6829268292682927,0.6932367149758454,0.7,0.7,36,31,20,36,14,9,4,14,7,3,3,7
18,Utilities,0.9595505633491156,0.4878048780487805,0.4816017316017316,0.5853658536585366,0.606280193236715,0.35,0.35,20,27,36,40,10,4,13,14,2,5,8,5
